Adducts,dCCS,Link,id
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24608290,24608290
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24768677,24768677
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24768678,24768678
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24768927,24768927
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24769240,24769240
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24769296,24769296
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24769329,24769329
M+H,,http://nonlinear.com/redirect/outbound?p=chemspider&param=113381524,113381524
M+H,,http://nonlinear.com/redirect/outbound?p=chemspider&param=113381566,113381566
,,,113372993
,,,113373005
,,,113373016
,,,113373138
,,,113373148
,,,113373185
,,,113373186
,,,113373206
,,,113373217
,,,113373437
,,,113373438
,,,113373459
,,,113373470
,,,113373480
,,,113373491
,,,113373753
,,,113373765
,,,113373826
,,,113373829
,,,113373959
,,,113377698
,,,24768199
,,,24768236
,,,24768271
,,,30777675
,,,30777699
,,,30777706
,,,30777729
,,,30777866
,,,30777900
,,,30778107
,,,30778307
,,,35015248
,,,35015303
,,,35015309
,,,35015336
,,,35015469
,,,35015475
,,,35015485
,,,35015502
,,,35015509
,,,35015529
,,,35015536
,,,35015579
,,,35015595
,,,35015696
,,,35015697
,,,35015706
,,,35015712
,,,35015753
,,,35015769
,,,35015776
,,,35015790
,,,35015797
,,,35015899
,,,35015900
,,,35015909
,,,35015915
,,,35015922
,,,35015931
,,,35015937
,,,35015950
,,,35015964
,,,35015971
,,,35016086
,,,35016181
,,,35016187
,,,35016976
,,,35016982
,,,35017026
,,,35017138
,,,35017144
,,,35017154
,,,35017163
,,,35017169
,,,35017252
,,,35017357
,,,35017373
,,,35017410
,,,35017545
,,,35017561
,,,35017580
,,,35017587
,,,35017679
,,,35017744
,,,35017905
,,,35017912
,,,35018119
,,,35018300
,,,35020676
,,,35020682
,,,35020692
,,,35020702
,,,35020709
,,,35020794
,,,35020818
,,,35020823
,,,35020844
,,,35020866
,,,35020900
,,,35020907
,,,35020984
,,,35020990
,,,35021032
,,,35021039
,,,35021112
,,,35021138
,,,35021144
,,,35021201
,,,35021202
,,,35021222
,,,35021288
,,,35021293
,,,35021303
,,,35021332
,,,35021435
,,,35021440
,,,35021456
,,,35021605
,,,35021612
,,,35021751
,,,35021758
,,,35021894
,,,35021901
,,,35022038
,,,35022483
,,,35022489
,,,35022618
,,,35023569
,,,35023680
,,,35023687
,,,35025391
,,,35025397
,,,35025422
,,,35025481
,,,35025499
,,,35026141
,,,35026217
,,,35027468
,,,35027478
,,,59651566
,,,59651648
,,,59651704
,,,59651710
,,,59651738
,,,59651871
,,,59651877
,,,59651887
,,,59651904
,,,59651911
,,,59651932
,,,59651939
,,,59651981
,,,59651997
,,,59652075
,,,59652086
,,,59652098
,,,59652099
,,,59652108
,,,59652114
,,,59652155
,,,59652171
,,,59652178
,,,59652192
,,,59652199
,,,59652301
,,,59652302
,,,59652311
,,,59652317
,,,59652324
,,,59652333
,,,59652339
,,,59652352
,,,59652366
,,,59652373
,,,59652394
,,,59652445
,,,59652540
,,,59652546
,,,59653335
,,,59653341
,,,59653385
,,,59653496
,,,59653502
,,,59653512
,,,59653521
,,,59653527
,,,59653611
,,,59653716
,,,59653731
,,,59653768
,,,59653903
,,,59653919
,,,59653938
,,,59653945
,,,59654037
,,,59654102
,,,59654263
,,,59654270
,,,59654476
,,,59654657
,,,59656943
,,,59656949
,,,59656959
,,,59656969
,,,59656976
,,,59657061
,,,59657080
,,,59657085
,,,59657090
,,,59657100
,,,59657111
,,,59657122
,,,59657133
,,,59657167
,,,59657174
,,,59657226
,,,59657227
,,,59657236
,,,59657242
,,,59657251
,,,59657257
,,,59657269
,,,59657285
,,,59657299
,,,59657306
,,,59657320
,,,59657379
,,,59657405
,,,59657411
,,,59657432
,,,59657452
,,,59657468
,,,59657469
,,,59657489
,,,59657555
,,,59657560
,,,59657570
,,,59657599
,,,59657697
,,,59657702
,,,59657707
,,,59657723
,,,59657859
,,,59657872
,,,59657879
,,,59658018
,,,59658025
,,,59658038
,,,59658161
,,,59658168
,,,59658294
,,,59658305
,,,59658750
,,,59658756
,,,59658836
,,,59658947
,,,59658954
,,,59659834
,,,59659845
,,,59661217
,,,59661301
,,,59661307
,,,59661320
,,,59661605
,,,59661611
,,,59661636
,,,59661694
,,,59661712
,,,59662081
,,,59662352
,,,59662427
